round,client,n_samples,train_loss,train_acc,val_loss,val_acc
5,8,5851,0.0,1.0,0.0,1.0
5,9,5949,0.0,1.0,7.0241114114807455e-09,1.0
1,0,5923,0.0,1.0,0.0,1.0
1,1,6742,0.0,1.0,0.0,1.0
1,2,5958,0.0,1.0,0.0,1.0
1,3,6131,0.0,1.0,0.0,1.0
1,4,5842,0.0,1.0,0.0,1.0
1,5,5421,0.0,1.0,0.0,1.0
1,6,5918,0.0,1.0,0.0,1.0
1,7,6265,0.0,1.0,0.0,1.0
1,8,5851,0.0,1.0,0.0,1.0
1,9,5949,0.0,1.0,0.0,1.0
2,0,5923,0.0,1.0,1.409568966053214e-09,1.0
2,1,6742,0.0,1.0,0.0,1.0
2,2,5958,0.0,1.0,3.005275204043396e-09,1.0
2,3,6131,0.0,1.0,2.722560091456402e-09,1.0
2,4,5842,0.0,1.0,2.653630374798885e-09,1.0
2,5,5421,0.0,1.0,8.57777494790226e-09,1.0
2,6,5918,0.0,1.0,6.05123237098489e-10,1.0
2,7,6265,0.0,1.0,9.90235511622064e-09,1.0
2,8,5851,0.0,1.0,0.0,1.0
2,9,5949,2.7723088269482332e-09,1.0,9.030997597334926e-09,1.0
3,0,5923,0.0,1.0,7.651935781701788e-09,1.0
3,1,6742,0.0,1.0,7.07473475780398e-10,1.0
3,2,5958,4.674873377297217e-09,1.0,4.808438826567457e-09,1.0
3,3,6131,8.514948746096707e-09,1.0,1.16681167972105e-09,1.0
3,4,5842,0.0,1.0,3.878382084285601e-09,1.0
3,5,5421,0.0,1.0,7.478063603364355e-09,1.0
3,6,5918,0.0,1.0,2.0170774289419505e-09,1.0
3,7,6265,0.0,1.0,6.2841904629964506e-09,1.0
3,8,5851,0.0,1.0,0.0,1.0
3,9,5949,0.0,1.0,1.9065423550414273e-08,1.0
4,0,5923,0.0,1.0,3.2218696179444195e-09,1.0
4,1,6742,0.0,1.0,5.306051147419313e-10,1.0
4,2,5958,0.0,1.0,3.2056267601172506e-09,1.0
4,3,6131,0.0,1.0,3.889372768023704e-10,1.0
4,4,5842,0.0,1.0,1.4288781299717512e-09,1.0
4,5,5421,0.0,1.0,1.7595462635087081e-09,1.0
4,6,5918,0.0,1.0,4.034155074292856e-10,1.0
4,7,6265,0.0,1.0,3.6181714635379508e-09,1.0
